"","sector","sector_id","year","LP","K","NET","LH","KperLH","NETperLH","dLP","dK","dNET","dKperLH","dNETperLH"
"その他のサービス-2014","その他のサービス",29,"2014",2433.533763,457,1523.726155,946393.28,482.885930889112,1610.03484196337,-0.0052052120879198,-0.0210032620615648,0.0127953521340034,-0.0106553910173277,0.0231432231782405
"その他のサービス-2015","その他のサービス",29,"2015",2444.791909,495,1564.78562,924364.97,535.502767916443,1692.82228425424,0.00461558606110746,0.0798743716744852,0.0265900777850252,0.103425600890254,0.0501413070007928
"その他のサービス-2016","その他のサービス",29,"2016",2410.259155,516.1,1583.001344,919901.08,561.038584713913,1720.83866234835,-0.0142257355951161,0.0417427825859908,0.0115737993359719,0.0465836228943957,0.0164146396443776
"その他のサービス-2017","その他のサービス",29,"2017",2405.04768,536,1586.600667,924285.21,579.907580691462,1716.57043717058,-0.00216454619127493,0.0378336159161208,0.00227115236213127,0.0330790655947695,-0.00248339795922004
"その他のサービス-2018","その他のサービス",29,"2018",2392.564733,579.1,1568.242787,920284.4,629.261997704188,1704.08494048144,-0.00520382811076292,0.0773410131609422,-0.0116380336915833,0.0816789532984714,-0.00730009355405414
"その他のサービス-2019","その他のサービス",29,"2019",2348.074149,638.7,1578.348017,939455,679.862260565966,1680.06771692098,-0.0187704195047944,0.0979596863357992,0.00642299261024259,0.0773425191543051,-0.0141941745712506
"その他の製造品-1994","その他の製造品",16,"1994",1733.809755,394,526.9834059,522721.71,753.74715161534,1008.15289630882,NA,NA,NA,NA,NA
"その他の製造品-1995","その他の製造品",16,"1995",1766.986029,411,538.8395105,507395.07,810.019695303701,1061.97230197763,0.0189541288785113,0.0422423051983003,0.0222487122072028,0.0720015934778298,0.0520080004867314
"その他の製造品-1996","その他の製造品",16,"1996",1789.301489,443.4,563.5189338,500290.2,886.285599837854,1126.38411426008,0.0125500273994277,0.0758790826859768,0.0447831608732514,0.0899806835484638,0.0588847617357384
"その他の製造品-1997","その他の製造品",16,"1997",1815.959121,487.8,594.4891188,493634.46,988.180606353941,1204.31040977164,0.0147884553788451,0.0954331885996087,0.0535014795811977,0.10882623488628,0.0668945258678697
"その他の製造品-1998","その他の製造品",16,"1998",1865.254686,535.8,631.1542916,462574.9,1158.29890467468,1364.43696274917,0.0267838351669205,0.0938554713286885,0.0598479389757092,0.158842265310676,0.124834732957696
"その他の製造品-1999","その他の製造品",16,"1999",1831.350162,589.3,666.0518269,449695.54,1310.44217160793,1481.11726191458,-0.0183441163699367,0.0951744347333596,0.0538171338536975,0.123412148515402,0.0820548476357397
"その他の製造品-2000","その他の製造品",16,"2000",1939.779732,646.3,699.6214184,442730.68,1459.80396027671,1580.24155543049,0.0575209381627078,0.0923284004249822,0.0491718722036216,0.107937537082324,0.0647810088609626
"その他の製造品-2001","その他の製造品",16,"2001",1854.821996,699.7,750.3872074,425911.49,1642.82959353832,1761.83837491682,-0.0447856939974871,0.0793878794830007,0.0700499919543098,0.118117964101062,0.108780076572371
"その他の製造品-2002","その他の製造品",16,"2002",1898.989096,736.9,801.9529017,406384.64,1813.30672340372,1973.38388995214,0.0235329574188192,0.0518005260211032,0.0664605302434094,0.098731980475832,0.11339198469814
"その他の製造品-2003","その他の製造品",16,"2003",1955.990544,758.8,848.0637222,407195.22,1863.47963514896,2082.69567162404,0.0295750474009058,0.0292860402879054,0.0559058969902786,0.0272934140982537,0.053913270800626
"その他の製造品-2004","その他の製造品",16,"2004",2099.834813,770.8,886.4203322,407998.76,1889.22142802591,2172.60545644796,0.0709619439141775,0.0156906984793519,0.0442354766087121,0.0137192897595693,0.0422640678889294
"その他の製造品-2005","その他の製造品",16,"2005",2196.361613,788.5,929.1029783,396237.12,1989.97004621879,2344.81559501543,0.044943497875086,0.0227034698628819,0.0470283275362045,0.0519547851153996,0.0762796427887231
"その他の製造品-2006","その他の製造品",16,"2006",2092.582625,802.6,970.0790894,400165.8,2005.66865034443,2424.1928955448,-0.0484031701719898,0.017724051429723,0.0431580224200943,0.00785791013447401,0.0332918811248444
"その他の製造品-2007","その他の製造品",16,"2007",2235.121078,807.8,1003.982339,393871.28,2050.92384496783,2549.01128866263,0.0658963913376001,0.00645804529649663,0.0343521058219967,0.0223128511110016,0.0502069116365025
"その他の製造品-2008","その他の製造品",16,"2008",2248.905383,805.5,1034.061069,377823.81,2131.94610472008,2736.88698708533,0.00614820119410808,-0.00285130051228411,0.0295194047932723,0.0387448790548746,0.0711155843604292
"その他の製造品-2009","その他の製造品",16,"2009",1936.011189,768.7,1033.827524,338205.69,2272.87719494016,3056.80109639788,-0.14981383311426,-0.0467624262619424,-0.00022587774001348,0.0640112888957489,0.110547837417679
"その他の製造品-2010","その他の製造品",16,"2010",2164.164946,732.6,1036.969272,343656.8,2131.77798315063,3017.4559967968,0.111404812535271,-0.0481009260103722,0.00303433964803457,-0.064090150269549,-0.0129548846111422
"その他の製造品-2011","その他の製造品",16,"2011",2169.940968,702.8,1041.511905,347097,2024.79422178815,3000.63643592425,0.00266538268060046,-0.0415274940317722,0.00437111510379751,-0.0514882888734007,-0.00558967973783098
"その他の製造品-2012","その他の製造品",16,"2012",2191.0273,693.1,1059.863265,350456.61,1977.70559956053,3024.23533971866,0.00967055710389619,-0.013898067389003,0.0174664922378884,-0.0235306918332547,0.00783386779363582
"その他の製造品-2013","その他の製造品",16,"2013",2242.513542,693.1,1083.266073,356310,1945.21624428166,3040.23483202829,0.023226833128966,0,0.0218407147642043,-0.0165642342219678,0.00527648054223739
"その他の製造品-2014","その他の製造品",16,"2014",2262.900665,693,1097.712213,361465.27,1917.19663689958,3036.84006211717,0.00905011668764377,-0.000144289734035574,0.0132475883553944,-0.0145091163408493,-0.00111723825141929
"その他の製造品-2015","その他の製造品",16,"2015",2363.914413,622.1,1079.359798,368050.55,1690.25694975867,2932.64008979201,0.0436714241575276,-0.107929147668929,-0.016860121896757,-0.125983475473634,-0.0349144497014624
"その他の製造品-2016","その他の製造品",16,"2016",2217.30221,571.8,1059.410593,373088.52,1532.61215327665,2839.56899290281,-0.0640276583897146,-0.0843115716327629,-0.0186553766088231,-0.097906989289946,-0.0322507942660062
"その他の製造品-2017","その他の製造品",16,"2017",2386.391307,534.9,1040.364769,374942.7,1426.61798722845,2774.73002941516,0.0734910753022984,-0.0667094663510071,-0.0181413180527032,-0.0716669701233483,-0.0230988218250436
"その他の製造品-2018","その他の製造品",16,"2018",2589.86839,505.4,1023.908536,370976.38,1362.35088605911,2760.0370028949,0.0818247482621999,-0.0567296185831108,-0.015944188766146,-0.0460947991002989,-0.00530936928333503
"その他の製造品-2019","その他の製造品",16,"2019",2648.810189,490.6,1024.88983,362423.1,1353.66647435001,2827.88219073232,0.0225034941425175,-0.0297210631297045,0.000957921571319353,-0.00639498217647638,0.0242840025245483
"パルプ・紙・紙加工品-1994","パルプ・紙・紙加工品",5,"1994",4019.88443,30,475.7363811,74188.7,404.374251065189,6412.51809372586,NA,NA,NA,NA,NA
"パルプ・紙・紙加工品-1995","パルプ・紙・紙加工品",5,"1995",4349.576755,30.4,487.0198704,71972.52,422.38343189873,6766.74750863246,0.0788253892042583,0.0132452267500205,0.0234410442956206,0.043572694724638,0.0537685122702367
"パルプ・紙・紙加工品-1996","パルプ・紙・紙加工品",5,"1996",4424.294585,31.7,508.7390466,70551.36,449.318057086355,7210.90346947245,0.0170323072669163,0.0418740724710589,0.0436302826075243,0.0618174967457321,0.0635737068821989
"パルプ・紙・紙加工品-1997","パルプ・紙・紙加工品",5,"1997",4433.658306,34,535.3724203,69125.76,491.857160051477,7744.90465348953,0.00211419604576157,0.0700438437329267,0.0510274109317548,0.0904573445972776,0.0714409117961043
"パルプ・紙・紙加工品-1998","パルプ・紙・紙加工品",5,"1998",4700.583296,36.8,565.97982,64006.95,574.93756537376,8842.47445004019,0.0584615605690804,0.0791373205587238,0.0555958064251119,0.156073103702031,0.132531589568419
"パルプ・紙・紙加工品-1999","パルプ・紙・紙加工品",5,"1999",4612.727352,40.1,594.7533383,62713.44,639.416367528236,9483.66631299447,-0.0188673079890567,0.0858784891376381,0.049588338256604,0.106294381616125,0.0700042307350923
"パルプ・紙・紙加工品-2000","パルプ・紙・紙加工品",5,"2000",4928.736798,43.7,621.879521,61528.95,710.234775662513,10107.1043955731,0.066263429078079,0.085971767789021,0.044599615722249,0.105039750763955,0.0636675986971831
"パルプ・紙・紙加工品-2001","パルプ・紙・紙加工品",5,"2001",4686.94505,47.4,663.7962478,59915.36,791.116000972038,11078.899430797,-0.05030173268187,0.0812741265994865,0.0652288688275116,0.107849022731375,0.0918037649593995
"パルプ・紙・紙加工品-2002","パルプ・紙・紙加工品",5,"2002",4462.925343,50.5,707.1479064,58282.4,866.470838537878,12133.1294936379,-0.0489765374330684,0.0633511075802833,0.0632646001818751,0.0909838462217678,0.0908973388233605
"パルプ・紙・紙加工品-2003","パルプ・紙・紙加工品",5,"2003",4525.292163,53,746.6890301,56939.97,930.804845875402,13113.6182562091,0.0138776839548509,0.0483185772708077,0.0544089599136717,0.0716211832784479,0.0777115659213106
"パルプ・紙・紙加工品-2004","パルプ・紙・紙加工品",5,"2004",4598.930162,55,778.9841999,56993.69,965.019110010248,13667.902532719,0.0161415614909739,0.0370412716803492,0.0423419563640968,0.0360982667074392,0.0413989513911872
"パルプ・紙・紙加工品-2005","パルプ・紙・紙加工品",5,"2005",5439.565624,57.8,816.0927975,51722.88,1117.49384411696,15778.1778102843,0.167875506182993,0.0496555904458607,0.0465373078013371,0.146695913590042,0.143577630945519
"パルプ・紙・紙加工品-2006","パルプ・紙・紙加工品",5,"2006",5075.242659,59.9,853.5132752,52484.19,1141.29607411299,16262.2929914704,-0.0693248707843246,0.0356877294430715,0.0448330250260049,0.0210759848633435,0.0302212804462769
"パルプ・紙・紙加工品-2007","パルプ・紙・紙加工品",5,"2007",4799.398771,61.1,885.9965644,52346.14,1167.23028670309,16925.7287051156,-0.0558836843390651,0.0198353610561464,0.0373519769945156,0.0224691423254058,0.039985758263775
"パルプ・紙・紙加工品-2008","パルプ・紙・紙加工品",5,"2008",4886.290008,61.4,915.7245269,49542.7,1239.33495752149,18483.5410040228,0.0179426719386573,0.00489796897554662,0.033002511673824,0.0599412451050423,0.0880457878033187
"パルプ・紙・紙加工品-2009","パルプ・紙・紙加工品",5,"2009",4271.716607,59,916.9731843,46400.55,1271.536652044,19762.1188606601,-0.1344175638209,-0.0398723912473766,0.00136264435272437,0.0256512201314534,0.0668862557315553
"パルプ・紙・紙加工品-2010","パルプ・紙・紙加工品",5,"2010",4682.697951,56.6,923.0722309,47297.52,1196.68007963208,19516.2924166003,0.0918586669374317,-0.0415284586965825,0.00662925913227319,-0.0606750089200263,-0.0125172910911697
"パルプ・紙・紙加工品-2011","パルプ・紙・紙加工品",5,"2011",4449.548594,54.9,930.1542543,49449.96,1110.21323374175,18810.0102467221,-0.0510717775999261,-0.0304956366936526,0.00764294912794572,-0.0749990230304913,-0.0368604372088939
"パルプ・紙・紙加工品-2012","パルプ・紙・紙加工品",5,"2012",4060.242834,54.4,948.0095345,48955.2,1111.22005425369,19364.8383522077,-0.0915598683271845,-0.00914919465358777,0.0190141224619369,0.000906460334703318,0.0290697774502284
"パルプ・紙・紙加工品-2013","パルプ・紙・紙加工品",5,"2013",4255.642816,54.4,969.5687665,49827.96,1091.75651581963,19458.3275434114,0.047003040550365,0,0.0224868423341587,-0.0176706780797984,0.00481616425435938
"パルプ・紙・紙加工品-2014","パルプ・紙・紙加工品",5,"2014",4121.271301,54.4,982.8904392,52187.78,1042.38961687966,18833.7277270656,-0.0320841397374885,0,0.013646256363228,-0.0462720956041176,-0.0326258392408896
"パルプ・紙・紙加工品-2015","パルプ・紙・紙加工品",5,"2015",4784.827846,48.9,974.0095983,52378.06,933.597006074681,18595.7555186275,0.149288362442318,-0.10658675738107,-0.00907650027984985,-0.110226190871569,-0.0127159337703482
"パルプ・紙・紙加工品-2016","パルプ・紙・紙加工品",5,"2016",4745.152113,45.1,961.0389371,54217.44,831.835660259872,17725.6421015083,-0.00832655732795295,-0.0808951499721937,-0.0134062326882702,-0.11540997652161,-0.0479210592376873
"パルプ・紙・紙加工品-2017","パルプ・紙・紙加工品",5,"2017",4848.378189,42.3,947.1918368,55230.84,765.876455980029,17149.6909480283,0.0215207659243202,-0.0640951604564006,-0.0145132795738023,-0.0826140254732577,-0.0330321445906581
"パルプ・紙・紙加工品-2018","パルプ・紙・紙加工品",5,"2018",4978.455497,40.2,935.4233994,54737.86,734.409419732522,17089.1481581487,0.0264754467615589,-0.0509200904272564,-0.0125023854759716,-0.0419542064542604,-0.00353650150297646
"パルプ・紙・紙加工品-2019","パルプ・紙・紙加工品",5,"2019",5063.808786,39.2,938.3707151,53797.45,728.659072130742,17442.661596414,0.0169992228821094,-0.0251902488285589,0.00314582921122941,-0.00786070815355266,0.0204753698862365
"はん用・生産用・業務用機械-1994","はん用・生産用・業務用機械",11,"1994",3476.500642,374.1,483.592067,340825.48,1097.62920307484,1418.88472364214,NA,NA,NA,NA,NA
"はん用・生産用・業務用機械-1995","はん用・生産用・業務用機械",11,"1995",3770.403338,374.6,495.0870704,337486.44,1109.9705220749,1466.98359317785,0.0811557567187933,0.00133564865588731,0.0234919323449612,0.0111808743468229,0.0333371580358968
"はん用・生産用・業務用機械-1996","はん用・生産用・業務用機械",11,"1996",3825.905073,377,516.2055755,347781.76,1084.01314663541,1484.28018622943,0.0146130777362661,0.00638639743802294,0.0417714413741743,-0.0236634274459755,0.0117216164901759
"はん用・生産用・業務用機械-1997","はん用・生産用・業務用機械",11,"1997",3925.255152,388,542.8750223,350242.2,1107.80482763071,1549.99889305172,0.0256362963200303,0.0287601521752627,0.050374043660292,0.0217103936250593,0.0433242851100886
"はん用・生産用・業務用機械-1998","はん用・生産用・業務用機械",11,"1998",3929.277369,413.3,576.1059167,330157.4,1251.82715880365,1744.94322011259,0.00102417740096961,0.0631683818944131,0.0594123950185965,0.122223786612667,0.11846779973685
"はん用・生産用・業務用機械-1999","はん用・生産用・業務用機械",11,"1999",3898.43567,441.6,607.6819278,319215.22,1383.3926840957,1903.67466751742,-0.00788017098851235,0.0662307734451986,0.0533600730610768,0.0999347377456274,0.0870640373615048
"はん用・生産用・業務用機械-2000","はん用・生産用・業務用機械",11,"2000",4109.555218,471.9,638.1377425,324008.3,1456.44417133759,1969.51048013276,0.0527394407743209,0.0663626037694565,0.0489025573654827,0.0514590171644711,0.0339989707604991
"はん用・生産用・業務用機械-2001","はん用・生産用・業務用機械",11,"2001",3876.966115,508.7,681.5080648,318241.11,1598.47355987415,2141.48343311145,-0.0582618845418352,0.0750913530963775,0.0657539275846482,0.093051182811327,0.0837137572995967
"はん用・生産用・業務用機械-2002","はん用・生産用・業務用機械",11,"2002",3698.162533,564.5,727.4986592,304789.2,1852.09974631647,2386.89119955694,-0.0472168350508912,0.104081931760997,0.0653040710575095,0.147270844680352,0.108492983976864
"はん用・生産用・業務用機械-2003","はん用・生産用・業務用機械",11,"2003",3925.841646,627.9,768.2467026,305244.1,2057.04221637699,2516.82736079092,0.0597446767544572,0.106440534530347,0.0544987528890708,0.104949140259517,0.0530073586182409
"はん用・生産用・業務用機械-2004","はん用・生産用・業務用機械",11,"2004",4313.392772,691.9,801.4018143,312930,2211.03761224555,2560.96192215511,0.094144020177076,0.0970605183847022,0.042251553203668,0.0721927794134007,0.0173838142323683
"はん用・生産用・業務用機械-2005","はん用・生産用・業務用機械",11,"2005",4950.157784,763.6,837.9109654,291511.92,2619.44691661322,2874.36261748748,0.137694671102059,0.0986026553468271,0.0445493861855066,0.169501281810072,0.115448012648751
"はん用・生産用・業務用機械-2006","はん用・生産用・業務用機械",11,"2006",5132.291756,804.9,870.5756726,304783.92,2640.88735389977,2856.37008868447,0.0361328438600701,0.0526739542480952,0.0382428371721133,0.00815178462550303,-0.00627933245047974
"はん用・生産用・業務用機械-2007","はん用・生産用・業務用機械",11,"2007",5421.641513,825.8,896.3727499,306307.6,2695.9827310847,2926.38102972306,0.0548463362869747,0.0256345673523022,0.0292016565076088,0.0206478080611827,0.0242148972164893
"はん用・生産用・業務用機械-2008","はん用・生産用・業務用機械",11,"2008",5778.21615,838.4,919.4143218,303060.66,2766.44286328684,3033.76334559557,0.0636963787072649,0.0151427001147875,0.0253805186059832,0.0257995424290227,0.0360373609202185
"はん用・生産用・業務用機械-2009","はん用・生産用・業務用機械",11,"2009",5073.685942,811.3,913.6487912,246306.14,3293.86835423591,3709.40322965558,-0.130027446766888,-0.0328574141657585,-0.00629061767904648,0.174500335562255,0.201067132048967
"はん用・生産用・業務用機械-2010","はん用・生産用・業務用機械",11,"2010",5394.568025,795.2,914.3243145,265407.72,2996.14495011675,3444.9801026888,0.0613249622799987,-0.0200442440586546,0.000739095480829732,-0.0947362199383033,-0.073952880398819
"はん用・生産用・業務用機械-2011","はん用・生産用・業務用機械",11,"2011",5646.445056,768.9,915.264683,275022.6,2795.77023851858,3327.96171296468,0.0456336275090923,-0.0336327333042297,0.00102795609734407,-0.0692187997683851,-0.0345581103668113
"はん用・生産用・業務用機械-2012","はん用・生産用・業務用機械",11,"2012",5531.870167,772.2,931.9621902,279140.68,2766.34706199039,3338.68281111875,-0.0205002094280218,0.00428266179200154,0.0180789509247612,-0.0105799462311111,0.00321634290164852
"はん用・生産用・業務用機械-2013","はん用・生産用・業務用機械",11,"2013",5085.873744,786.4,954.3009788,287659.52,2733.78749988876,3317.46704854406,-0.0840591016081866,0.0182219850028202,0.0236868676882169,-0.0118396894038213,-0.00637480671842461
"はん用・生産用・業務用機械-2014","はん用・生産用・業務用機械",11,"2014",4950.717252,788.6,965.6705804,304333.68,2591.23472630436,3173.06510538038,-0.026934376990809,0.00279365261057052,0.0118436488793687,-0.0535535198797357,-0.0445035236109366
"はん用・生産用・業務用機械-2015","はん用・生産用・業務用機械",11,"2015",5116.598194,872.5,976.8361155,309072.54,2822.9618846113,3160.53996741348,0.0329573375177876,0.101103432633055,0.0114961334177792,0.0856521570330075,-0.003955142182269
"はん用・生産用・業務用機械-2016","はん用・生産用・業務用機械",11,"2016",4908.727037,923.1,977.0617565,316014.72,2921.06646171419,3091.82355967469,-0.041475154069289,0.0563749169195233,0.000230964989763827,0.0341621287671714,-0.021981823162589
"はん用・生産用・業務用機械-2017","はん用・生産用・業務用機械",11,"2017",5167.283899,949,971.5471599,326349.4,2907.92629004374,2977.0153090522,0.0513325435182441,0.0276712276138227,-0.00566004935704445,-0.00450856416831247,-0.0378398411391787
"はん用・生産用・業務用機械-2018","はん用・生産用・業務用機械",11,"2018",5354.008903,953.6,963.0619038,336418.94,2834.56097923619,2862.68633924119,0.0354984155212836,0.00483549770115754,-0.0087721190507164,-0.0255531442715329,-0.0391607610234068
"はん用・生産用・業務用機械-2019","はん用・生産用・業務用機械",11,"2019",5293.625494,967,968.8071073,329309.28,2936.44928560774,2941.93685431519,-0.0113422482573142,0.0139541991422085,0.00594783642597108,0.0353140577022852,0.0273076949860478
"一次金属-1994","一次金属",9,"1994",7358.273644,137.2,213.2334779,114117.8,1202.26642995221,1868.53828149509,NA,NA,NA,NA,NA
"一次金属-1995","一次金属",9,"1995",7875.388859,135.1,217.9389464,111190.7,1215.02967424434,1960.04653626607,0.0679172164249007,-0.0154244703256312,0.0218272554171719,0.0105600326552988,0.0478117583981019
"一次金属-1996","一次金属",9,"1996",7936.397606,134.9,227.149839,112217.16,1202.13343485078,2024.19878564027,0.00771690787679624,-0.00148148175244334,0.0413949222434438,-0.0106706590976859,0.032205744898202
"一次金属-1997","一次金属",9,"1997",8426.032282,137.5,238.0700042,110373.42,1245.77094738933,2156.95050674338,0.0598665244961047,0.0190901538929165,0.0469548822938686,0.0356567324777943,0.0635214608787473
"一次金属-1998","一次金属",9,"1998",7874.043562,142.7,250.9592442,99083.78,1440.19535790823,2532.79844793971,-0.0677542698948272,0.0371206073761643,0.0527257865262802,0.145024196479516,0.160629375629631
"一次金属-1999","一次金属",9,"1999",8485.815379,148.7,262.4914881,94962,1565.88951370022,2764.17396537562,0.0748242657011833,0.0411863289833185,0.0449281029776536,0.0836752722866452,0.0874170462809802
"一次金属-2000","一次金属",9,"2000",9522.516159,155.7,273.1152429,94548.54,1646.77318126753,2888.62464613414,0.11526312570502,0.0460002253738434,0.0396751860555922,0.05036368353311,0.0440386442148588
"一次金属-2001","一次金属",9,"2001",9176.87732,163.4,291.039904,91264.16,1790.4070995668,3188.98353965018,-0.0369721307531066,0.0482701035859501,0.063566543642378,0.0836252984999648,0.0989217385563927
"一次金属-2002","一次金属",9,"2002",8442.26653,170.4,310.1305611,88953.6,1915.60543924023,3486.43069083207,-0.0834361667800856,0.0419474319693132,0.0635329887346945,0.0675907050069853,0.0891762617723675
"一次金属-2003","一次金属",9,"2003",8820.813377,175.9,328.3674901,89024.67,1975.85680463629,3688.49994164539,0.0438632666169259,0.0317670373482963,0.057140004201691,0.0309684004834994,0.0563413673368913
"一次金属-2004","一次金属",9,"2004",9431.773784,179.9,343.3173015,88456.32,2033.77214878485,3881.20714834169,0.0669700936815598,0.0224854892129756,0.0445217189505716,0.0288901406946644,0.0509263704322613
"一次金属-2005","一次金属",9,"2005",9866.138768,186.4,359.5996562,90744.72,2054.11400244554,3962.76120748403,0.0450243889245083,0.0354937612950028,0.0463362497295687,0.00995234251220811,0.0207948309467749
"一次金属-2006","一次金属",9,"2006",9890.824513,192,376.4868789,96754.32,1984.40751792788,3891.16350463731,0.00249894252423033,0.029600469776291,0.0458918498987462,-0.0345242226654063,-0.0182328425429521
"一次金属-2007","一次金属",9,"2007",9916.023012,195.6,391.7356703,101565.92,1925.84284177212,3856.95979812914,0.00254442435253566,0.0185763855729357,0.0397041054482647,-0.029956678154476,-0.00882895827914609
"一次金属-2008","一次金属",9,"2008",9752.908151,197.7,406.4894043,101601.49,1945.83760533433,4000.82129012084,-0.0165864224311054,0.010678972575854,0.0369705610837645,0.0103288179879364,0.0366204064958477
"一次金属-2009","一次金属",9,"2009",8238.966661,191,409.6421796,86819.14,2199.9757196397,4718.33952282872,-0.168690581593932,-0.0344773021299414,0.00772618299704586,0.122753793990565,0.164957279117552
"一次金属-2010","一次金属",9,"2010",11363.7255,185.6,414.7425761,93063.67,1994.33355680041,4456.54653529138,0.321551377634126,-0.0286796076945297,0.0123739832492005,-0.0981363859851623,-0.0570827950414312
"一次金属-2011","一次金属",9,"2011",9129.688295,180.7,418.8482546,96830.25,1866.15236457615,4325.5930311034,-0.218894755193896,-0.0267556227539174,0.00985066425512837,-0.0664311856571906,-0.0298248986481457
"一次金属-2012","一次金属",9,"2012",10039.77404,180,426.838455,95675.46,1881.36017323564,4461.31594245797,0.095023054754952,-0.00388134670797236,0.0188969226516686,0.00811625951283723,0.0308945288724782
"一次金属-2013","一次金属",9,"2013",10863.74618,181,436.0462419,91379.16,1980.75797588859,4771.83464916946,0.0788765991071259,0.00554018037561566,0.0213426810102675,0.0514845759099609,0.0672870765446127
"一次金属-2014","一次金属",9,"2014",11292.0188,181.3,441.7233967,89611.08,2023.18731121196,4929.33905829502,0.0386649681440083,0.00165608649497972,0.0129355897335017,0.021194557154586,0.0324740603931097
"一次金属-2015","一次金属",9,"2015",11185.19535,220.3,440.9884739,87652.47,2513.33476398326,5031.10150689421,-0.00950511514039576,0.194837136047492,-0.00166514803819684,0.216936317864713,0.0204340337790221
